Category,Subcategory,Title,Brend,Country,Url of Product
Молочные продукты и яйца,Йогурт,Йогурт 2.7% для детей от 8мес Яблоко-Груша Агуша п/бут 200г,Агуша,RU,/product/4607025391753-kz-yogurt-agusha-zasypay-ka-yablgrusha-8mes-27-200gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.7% для детей от 8мес Зелёное яблоко-Мелисса Засыпай-ка Агуша п/бут 200г,Агуша,RU,/product/4690228028960-kz-yogurt-agusha-zasypay-ka-zel-yablmelissa-8mes-27-200gr-pb
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 1.5% для детей от 3лет Малиновый пломбир Имунеле п/бут 100г,Имунеле,RU,/product/4690228024573-kz-napitok-pitevoy-imunele-for-kids-malinovyy-plombir-95ml100ml-pb
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Ягодный микс Actimel п/бут 100г,Actimel,RU,/product/4600605024065-kz-napitok-pitevoy-danone-actimel-yagodnyy-miks-25-100ml-pb
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Клюква-Малина-Чабрец Actimel п/бут 100г,Actimel,RU,/product/4600605023396-kz-napitok-pitevoy-danone-actimel-klyukvamalinachabrec-100ml-pb
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% для детей от 3лет Клубнично-Банановый сюрприз Actimel п/бут 100г,Actimel,RU,/product/4600605021736-kz-napitok-pitevoy-danone-actimel-klubn-banan-det-100ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Киви-Шпинат Simple Epica п/бут 290г,Epica,RU,/product/4606779764806-kz-yogurt-pitevoy-epica-simple-kivi-shpinat-12-290gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Голубика-Овсяные хлопья Simple Epica п/бут 290г,Epica,RU,/product/4606779782107-kz-yogurt-pitevoy-epica-simple-golubika-ovsyanye-hlopya-12-290gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Киви-Виноград Epica п/бут 290г,Epica,RU,/product/4606779772108-kz-yogurt-pitevoy-epica-kivi-vinograd-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 3.6% Кокос-Ваниль Epica п/бут 290г,Epica,RU,/product/4606779772801-kz-yogurt-pitevoy-epica-kokos-vanil-36-290ml-pb
Молочные продукты и яйца,Йогурт,Коктейль молочный 4% ультрапастеризованный Cоленая Карамель Grand Cocktail Ehrmann п/бут 260г,Ehrmann,RU,/product/4606779767302-kz-kokteyl-mol-ehrmann-grand-cocktail-so-vkusom-solenaya-karamel-4-260ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Вишня-Банан Epica п/бут 290г,Epica,RU,/product/4606779764400-kz-yogurt-pitevoy-epica-vishnyabanan-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Семена Чиа-Отруби-Злаки Simple Epica п/бут 290г,Epica,RU,/product/4606779782206-kz-yogurt-pitevoy-epica-simple-zlaki-otrubi-semena-chia-12-260gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника-Маракуйя Epica п/бут 290г,Epica,RU,/product/4606779772405-kz-yogurt-pitevoy-epica-klubn-marak-25-290ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Клубника-Банан-Злаки Эмиль т/п 500г,Эмиль,KZ,/product/4870005353700-kz-bioyogurt-pitevoy-emil-klubnbananzlaki-15-500ml-trx
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Персик Эмиль т/п 500г,Эмиль,KZ,/product/4870005356572-kz-bioyogurt-emil-persik-15-500gr-tba
Молочные продукты и яйца,Йогурт,Йогурт 2% питьевой со вкусом клубники FoodMaster т/п 450г,Food Master,KZ,/product/4870207312130-kz-yogurt-pitevoy-foodmaster-klubn-2-450ml
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Клубника со злаками Эмиль т/п 500г,Эмиль,KZ,/product/4870005353694-kz-bioyogurt-pitevoy-emil-klubn-so-zlakami-15-500ml-trx
Молочные продукты и яйца,Йогурт,Биойогурт 2.9% Клубника Био-С Имун+ FoodMaster т/п 500г,Food Master,KZ,/product/4870055006113-kz-bioyogurt-pitevoy-foodmaster-bio-s-klubnika-32-500ml-rr
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 2% Снежок FoodMaster т/п 450г,Food Master,KZ,/product/4870207312383-kz-snezhok-foodmaster-2-450ml-kbf
Молочные продукты и яйца,Йогурт,Биопростокваша 2.5% сладкая с ароматом дыни Биотонус Эмиль т/п 900г,Эмиль,KZ,/product/4870005355315-kz-bioprostokvasha-pitevaya-emil-biotonus-so-vkusom-dyni-25-900ml-trx
